uniprot,gene_symbol,status,pdb_path,pae_path,sha256_pdb,retrieved_at,notes
Q9UKP6,UTS2R,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q9UKP6/Q9UKP6.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/Q9UKP6/Q9UKP6_pae.json,9088d8485be93905b0c7bd5f5e8f2446bffa47b26ab318acbf4c9dc41f75fdd7,2026-01-10 08:39:15,
Q96QU1,PCDH15,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96QU1/Q96QU1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96QU1/Q96QU1_pae.json,f9faa65497f022cc337cb7efa13e5ed21cdadc69bde7c1207b11de61ec98e0ca,2026-02-08 19:24:16,
Q9Y6N9,USH1C,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y6N9/Q9Y6N9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y6N9/Q9Y6N9_pae.json,a88d59a93789603a8e5789693cf9ddbfeeb3368348465f4f8a3b35a7f42b2c84,2026-02-08 19:24:16,
Q8TDI8,TMC1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8TDI8/Q8TDI8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8TDI8/Q8TDI8_pae.json,ba6b438b036b9386f4f04534cfa1dda3b6a35fbe05dd7fb2ec1b415bc6768d3b,2026-02-08 19:24:18,
P11055,MYH3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P11055/P11055.pdb,research/alphafold_countercurvature/data/raw/afdb/P11055/P11055_pae.json,65643fb0e6fab3e7129d029fe46429d296f79f1e66ab50ccbe62bcd5fb396747,2026-02-10 03:48:52,
Q3SXY8,ARL13B,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q3SXY8/Q3SXY8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q3SXY8/Q3SXY8_pae.json,de04b23a5fea3254d2b0a1781c0c355335482f8aec4c1531192722a9d5aca225,2026-02-10 03:48:53,
O94907,DKK1,downloaded,research/alphafold_countercurvature/data/raw/afdb/O94907/O94907.pdb,research/alphafold_countercurvature/data/raw/afdb/O94907/O94907_pae.json,65e60afb2f1f7bbe2a120ea4b4f96404c5bffafe715b9c77414a8a8dfb601231,2026-02-10 03:48:54,
Q92793,CREBBP,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q92793/Q92793.pdb,research/alphafold_countercurvature/data/raw/afdb/Q92793/Q92793_pae.json,e10e5f762ee4696bce8dfc079dcfe6ca19f65afd96771591e109e228bd6d7424,2026-02-10 03:48:56,
Q9H3R0,KDM4C,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9H3R0/Q9H3R0.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9H3R0/Q9H3R0_pae.json,7f7c2362c355f09e5722ccdffb391df72fc966213863a7ff4ce41c7bba2c2a0f,2026-02-10 03:48:57,
Q96AY3,FKBP10,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96AY3/Q96AY3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96AY3/Q96AY3_pae.json,8cdb613a3ccaa8969504dbfb781bb74ca4b1d14f41c62cce26d49e87aa8c1ccb,2026-02-10 03:48:58,
Q14204,DYNC1H1,not_found_afdb,,,,2026-02-10 03:48:58,
Q99715,COL12A1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q99715/Q99715.pdb,research/alphafold_countercurvature/data/raw/afdb/Q99715/Q99715_pae.json,168efa82b919398cb52cc4822311f204026e23dd54ac29caba7256f9ff4c9289,2026-02-10 03:49:00,
Q9Y2V0,CCDC103,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y2V0/Q9Y2V0.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y2V0/Q9Y2V0_pae.json,de7942adc6aaf379d6d9f2ab3e238288d1d28262708241c2b434149ec2ffbde2,2026-02-10 03:49:01,
Q9UFE4,CCDC39,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UFE4/Q9UFE4.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UFE4/Q9UFE4_pae.json,48549bd6bf95802ab5847f1168c3d3b33d0ccd54f66b248778ebb5753ed3b8a8,2026-02-10 03:49:01,
P22607,FGFR3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P22607/P22607.pdb,research/alphafold_countercurvature/data/raw/afdb/P22607/P22607_pae.json,abdff329295f53f70c771025f6a8b94e4977f5b0e090c7cb92e3fba1bc37e7c9,2026-02-10 03:49:02,
O75800,ZMYND10,downloaded,research/alphafold_countercurvature/data/raw/afdb/O75800/O75800.pdb,research/alphafold_countercurvature/data/raw/afdb/O75800/O75800_pae.json,b7618454b9284acab7904daf6a93400fb5eee500df41bd1daa26044b654464a3,2026-02-10 03:49:03,
Q4G0P3,HYDIN,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q4G0P3/Q4G0P3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q4G0P3/Q4G0P3_pae.json,6f8a447009a90747c03c5034b306f0197cd77e7887f9a673c539c7d9413edf04,2026-02-10 03:49:04,
Q8TE73,DNAH5,not_found_afdb,,,,2026-02-10 03:49:05,
P36969,GPX4,not_found_afdb,,,,2026-02-10 03:49:05,
Q5HYA8,TMEM67,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q5HYA8/Q5HYA8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q5HYA8/Q5HYA8_pae.json,5a51ac3d78dd422cab30047c0f0fdcc1ef81df7a93278d63664714be57ddc0f0,2026-02-10 03:49:22,
P58215,LOXL3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P58215/P58215.pdb,research/alphafold_countercurvature/data/raw/afdb/P58215/P58215_pae.json,3a50073fdb4094a656a36a9893a2b121bfe717cf4e94ada4862b2621a35a9fc9,2026-02-10 03:49:25,
O95925,FBLN4,downloaded,research/alphafold_countercurvature/data/raw/afdb/O95925/O95925.pdb,research/alphafold_countercurvature/data/raw/afdb/O95925/O95925_pae.json,4dac61a1f31f2dea750346de52c237b3c12c4e5856196e40535a567dd3dc9b87,2026-02-10 03:49:26,
Q13418,ILK,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q13418/Q13418.pdb,research/alphafold_countercurvature/data/raw/afdb/Q13418/Q13418_pae.json,dd3686520e09f1c36ca64560561ea3471f84dd2083929e781c9c75daf234b4ec,2026-02-10 03:49:27,
Q96BA8,CREB3L1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96BA8/Q96BA8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96BA8/Q96BA8_pae.json,7e0119ae4ccc136ce11e02c4618a9590c158aca831070ace8e082e510311c331,2026-02-10 03:49:33,
Q86UK5,EVC2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q86UK5/Q86UK5.pdb,research/alphafold_countercurvature/data/raw/afdb/Q86UK5/Q86UK5_pae.json,a3f6bf5589547a13ab003756a58bb4314c4ab05684ffb69fe705f1e8787dbf2c,2026-02-10 03:49:33,
P20807,CAPN3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P20807/P20807.pdb,research/alphafold_countercurvature/data/raw/afdb/P20807/P20807_pae.json,28b228ef72fb4d5270ad532f5424ecd6b92aef8669e01120f9f220edc16738de,2026-02-10 03:49:34,
P56539,CAV3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P56539/P56539.pdb,research/alphafold_countercurvature/data/raw/afdb/P56539/P56539_pae.json,c555ba1d5832aece15c19027706249eb4595ef06684791d2420c5c18f8dbfa3f,2026-02-10 03:49:35,
Q9UH99,SUN2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UH99/Q9UH99.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UH99/Q9UH99_pae.json,ab3e9d281c15cd91057ad4e206ff0dd034770b77a9b1b5b8a4dce458e43dc091,2026-02-10 03:49:36,
Q86Y38,XYLT1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q86Y38/Q86Y38.pdb,research/alphafold_countercurvature/data/raw/afdb/Q86Y38/Q86Y38_pae.json,d550fb719c03f69776371b46ca2ff673d8782e5a457661f2c8eac439e0357b7a,2026-02-10 03:49:37,
Q96MS0,ROBO3,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96MS0/Q96MS0.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96MS0/Q96MS0_pae.json,4a2c53ec57230cf57eca2acdc51853158de50de83bf7c752b57f605cd14a989e,2026-02-10 03:49:37,
O14656,TOR1A,not_found_afdb,,,,2026-02-10 03:50:08,
Q9H324,ADAMTS10,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9H324/Q9H324.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9H324/Q9H324_pae.json,a39c4c82ab73afe317ae08c5970c4acfa579c64239e7da4cf085add72c8bb7b4,2026-02-10 03:50:10,
Q8TC44,POC1B,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8TC44/Q8TC44.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8TC44/Q8TC44_pae.json,bff640f6bb9ef5a332005f68c73f3239dde43f52907b232f80e0cc35f5eaed5b,2026-02-10 03:50:10,
P07951,TPM2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P07951/P07951.pdb,research/alphafold_countercurvature/data/raw/afdb/P07951/P07951_pae.json,785abc8eb33ea8f05f6ef80acc625ab1c7cee5d84e6bfcb89982b2031897b38d,2026-02-10 03:50:11,
Q9NS15,LTBP3,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9NS15/Q9NS15.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9NS15/Q9NS15_pae.json,869dc7d9aab499757327696233c1c5bfa40a0f7d062efa33dd1174f66bf78aa0,2026-02-10 03:50:13,
Q15043,SLC39A14,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q15043/Q15043.pdb,research/alphafold_countercurvature/data/raw/afdb/Q15043/Q15043_pae.json,fc1da42eab7a785c979fc557820726ffaeccb658580ac288b21669752642fcee,2026-02-10 03:50:13,
P57679,EVC,downloaded,research/alphafold_countercurvature/data/raw/afdb/P57679/P57679.pdb,research/alphafold_countercurvature/data/raw/afdb/P57679/P57679_pae.json,990a5e22f0c73c4f693fc421644d7a1fd74a30fd2ca944369cea168e2ab185d0,2026-02-10 03:50:15,
Q9HBG6,IFT122,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9HBG6/Q9HBG6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9HBG6/Q9HBG6_pae.json,91ce0b8642f8b4c63807a0a00575e619bb2d909d03d929f7a1cb9d96c6215063,2026-02-10 03:50:16,
P20849,COL9A1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P20849/P20849.pdb,research/alphafold_countercurvature/data/raw/afdb/P20849/P20849_pae.json,ab7f46c3af7cd423f421841e1a4c7d828e0f24a39df2a315537ae26ba4c4bf47,2026-02-10 03:50:17,
Q16236,NFE2L2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q16236/Q16236.pdb,research/alphafold_countercurvature/data/raw/afdb/Q16236/Q16236_pae.json,bb38410fbe65901ad891383e18e4e40c30f9df02292a1337f8f5ef2c6f595509,2026-02-10 03:50:19,
P29279,CCN2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P29279/P29279.pdb,research/alphafold_countercurvature/data/raw/afdb/P29279/P29279_pae.json,8a759fa3fcc9afd7cc6e741945b09111f72c8cc57ca813a6096b09e039a576c7,2026-02-10 03:50:20,
Q96RY7,IFT140,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96RY7/Q96RY7.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96RY7/Q96RY7_pae.json,6e901c30699d1634a2e0e61313fa716b7de64f79d46ec3642827ac956227fab9,2026-02-10 03:50:31,
P05019,IGF1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P05019/P05019.pdb,research/alphafold_countercurvature/data/raw/afdb/P05019/P05019_pae.json,ab837cb0f1be1ffffc7a717981263ed66e733c86f1a6417feaacc3b18ec4638c,2026-02-10 03:50:32,
Q03692,COL10A1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q03692/Q03692.pdb,research/alphafold_countercurvature/data/raw/afdb/Q03692/Q03692_pae.json,3aefa104fa4dff086e70621ef1a59471f8a297c89cbaa43229272d8089afc79a,2026-02-10 03:50:36,
O43463,SUV39H1,downloaded,research/alphafold_countercurvature/data/raw/afdb/O43463/O43463.pdb,research/alphafold_countercurvature/data/raw/afdb/O43463/O43463_pae.json,0892403edc41a1c86ba615db170394923664697897d4b74b39559af5b6bffa07,2026-02-10 03:50:38,
Q923J1,TRPM7,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q923J1/Q923J1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q923J1/Q923J1_pae.json,439314ff784390232504e326a51815ccf0b46f56e5bb1be270f2f735595b0aed,2026-02-10 03:50:42,
Q9UHC6,CNTNAP2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UHC6/Q9UHC6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UHC6/Q9UHC6_pae.json,c0e302435e577e1ae0c955c9d7a429df236df7e1c644ac11cfaf286ed902e4a9,2026-02-10 03:50:49,
Q8NHH1,TTLL11,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8NHH1/Q8NHH1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8NHH1/Q8NHH1_pae.json,54a2013d715498a97a13b6e88fe64aafcb6f4366b0fa28a564fdb64ea064b223,2026-02-10 03:50:51,
P51654,GPC3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P51654/P51654.pdb,research/alphafold_countercurvature/data/raw/afdb/P51654/P51654_pae.json,2411b3d06a814078fb375a42491fffd677a66953f63fe2e8d9c58f548f2fd320,2026-02-10 03:50:53,
Q9P2L0,WDR35,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9P2L0/Q9P2L0.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9P2L0/Q9P2L0_pae.json,d9c014b4d35eb8c3f37d73fa0e1e8e7e728d023715f3ecdc5dc90f21a1537d11,2026-02-10 03:50:54,
Q8WVJ9,TWIST2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8WVJ9/Q8WVJ9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8WVJ9/Q8WVJ9_pae.json,eaf6d807af190e3f060c3d17b51f88f64ff5b2f4b1546c8cf2fc05f6f3230c34,2026-02-10 03:50:55,
P12272,PTHLH,downloaded,research/alphafold_countercurvature/data/raw/afdb/P12272/P12272.pdb,research/alphafold_countercurvature/data/raw/afdb/P12272/P12272_pae.json,65dc2ed7638c0dbd6d76bc980692fc04514b12e3ddb39206320c157342098fc5,2026-02-10 03:50:55,
P40763,STAT3,downloaded,research/alphafold_countercurvature/data/raw/afdb/P40763/P40763.pdb,research/alphafold_countercurvature/data/raw/afdb/P40763/P40763_pae.json,8c7052ae73805ca89e43ab4b01f6e85657a0f8dbef02ed0e47789ba67187f15b,2026-02-10 03:50:56,
Q8WYB5,KAT6B,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8WYB5/Q8WYB5.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8WYB5/Q8WYB5_pae.json,ed571dba9d0e06eea63ec3624c06e4fffab2b9d41e7ddb8d5f0cab40a48f0194,2026-02-10 03:50:58,
Q7RTS9,DYM,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q7RTS9/Q7RTS9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q7RTS9/Q7RTS9_pae.json,52bba0a2aada6f3061346deb74cc8cbb0e777ac9f644ebccf8427ed26c0b7a1f,2026-02-10 03:50:59,
P08F94,PKHD1,not_found_afdb,,,,2026-02-10 03:50:59,
Q96PY6,NEK1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96PY6/Q96PY6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96PY6/Q96PY6_pae.json,499ee42ea65cbc3d18498bc7e25a6840ee31fad91460e6008a3a9c862513198a,2026-02-10 03:51:00,
Q86SG6,NEK8,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q86SG6/Q86SG6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q86SG6/Q86SG6_pae.json,68b1d76a0ea47750f7c390c8452d80c46bba365c6678433ca8dc61cc8ce9aad1,2026-02-10 03:51:01,
P10451,SPP1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P10451/P10451.pdb,research/alphafold_countercurvature/data/raw/afdb/P10451/P10451_pae.json,9f1178ebf8885d09d76d46f02b8ebb83abf39a16a71e3c35da2c1a179a2904c4,2026-02-10 03:51:01,
P27986,PIK3R1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P27986/P27986.pdb,research/alphafold_countercurvature/data/raw/afdb/P27986/P27986_pae.json,e6061f359fa9f59a0b025059090acce33edf18db547256f9b1fe9cdfa909c054,2026-02-10 03:51:16,
P49023,PXN,downloaded,research/alphafold_countercurvature/data/raw/afdb/P49023/P49023.pdb,research/alphafold_countercurvature/data/raw/afdb/P49023/P49023_pae.json,38b3a7ddbf601d248bd66eb0ed4cd8219dd6f460f86e0197b15bea6b28947cb2,2026-02-10 03:51:17,
Q9UHC3,ASIC3,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UHC3/Q9UHC3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UHC3/Q9UHC3_pae.json,c82072220a50f5537d08787490ccc6a6fbdcf536aec8ba4f89e5ca401f0230cd,2026-02-10 03:51:21,
Q7Z3G6,PRICKLE2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q7Z3G6/Q7Z3G6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q7Z3G6/Q7Z3G6_pae.json,8ec36d5cf6d90aeec5b98886c3d6367e9d2e9023ee6f80cd2e1064300b881086,2026-02-10 03:51:24,
Q96D98,UNCX,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96D98/Q96D98.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96D98/Q96D98_pae.json,35753fc13500ce790bb64c206dcf5171eb696576b582374c8f286081098b50cd,2026-02-10 03:51:24,
Q9BXP8,PAPPA2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9BXP8/Q9BXP8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9BXP8/Q9BXP8_pae.json,72092baf1b6e0854a65f22768c52d06b0701b57280be0eea47f3f9889bd01b12,2026-02-10 03:51:33,
P12830,CDH1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P12830/P12830.pdb,research/alphafold_countercurvature/data/raw/afdb/P12830/P12830_pae.json,8592035e9202ec7b2fc30e0d9698811340f0ecb70c5457513d168281738519d0,2026-02-10 03:51:50,
O00744,WNT10B,downloaded,research/alphafold_countercurvature/data/raw/afdb/O00744/O00744.pdb,research/alphafold_countercurvature/data/raw/afdb/O00744/O00744_pae.json,968fa4008b6678ca285236882c2baae8f01eb4597cb8835610baf972f28d6400,2026-02-10 03:51:55,
P16615,ATP2A2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P16615/P16615.pdb,research/alphafold_countercurvature/data/raw/afdb/P16615/P16615_pae.json,ccd42a91b5ac85bb549437ecf02ce2a5e18142fe8d08c8680c2ec719be749a24,2026-02-10 03:51:57,
Q9Y2T1,AXIN2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y2T1/Q9Y2T1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y2T1/Q9Y2T1_pae.json,1237de83e3ec99a4118226c10658d8e81226ecd0a4c70a9e3e6208c444aabfb8,2026-02-10 03:52:05,
Q92806,KCNK2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q92806/Q92806.pdb,research/alphafold_countercurvature/data/raw/afdb/Q92806/Q92806_pae.json,871301e4cd0caa38516e989b9d3157b1fc980ffb56f386f34068b2dffef56976,2026-02-10 03:52:11,
O94886,TMEM63A,downloaded,research/alphafold_countercurvature/data/raw/afdb/O94886/O94886.pdb,research/alphafold_countercurvature/data/raw/afdb/O94886/O94886_pae.json,ab87f782a479d92ce9a6672b70dec5c57d42314f0c231a6bd93032c6fa743954,2026-02-10 03:52:18,
Q9BPX3,FUZ,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9BPX3/Q9BPX3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9BPX3/Q9BPX3_pae.json,dddbb0537694b8f0215bd8358e3a35387b417595599356a121034380ce724948,2026-02-11 23:51:39,
Q9Y210,TRPC6,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y210/Q9Y210.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y210/Q9Y210_pae.json,ce1d7192f23bf578a1267e4cdcde1dc8b8df3f3dd22ee2de14ad174586653f16,2026-02-11 23:51:40,
Q00872,MYBPC1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q00872/Q00872.pdb,research/alphafold_countercurvature/data/raw/afdb/Q00872/Q00872_pae.json,127367ff84b0d116dd84e7c5a8a6afb6d1674ea9c0e9a8eceb1ea62e6775d346,2026-02-11 23:51:41,
P54821,PRRX1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P54821/P54821.pdb,research/alphafold_countercurvature/data/raw/afdb/P54821/P54821_pae.json,88d5f0a8f6c8b7598ae9ec96b2b646e5997f70b3a700ec0d6b251b8cb2ed3ccb,2026-02-11 23:51:42,
Q14055,COL9A2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q14055/Q14055.pdb,research/alphafold_countercurvature/data/raw/afdb/Q14055/Q14055_pae.json,e83f3d821b64122721d084e197ac10abcd2dd47750db757b51855bc894690411,2026-02-11 23:51:43,
O60663,LMX1B,downloaded,research/alphafold_countercurvature/data/raw/afdb/O60663/O60663.pdb,research/alphafold_countercurvature/data/raw/afdb/O60663/O60663_pae.json,06f962e2fdbd787fc39f8d329782d26b38e1fe1cd9ce82e274204d6e7122a3b8,2026-02-11 23:51:45,
Q03001,DST,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q03001/Q03001.pdb,research/alphafold_countercurvature/data/raw/afdb/Q03001/Q03001_pae.json,3b42f479629fa0ee6bb56369f9b5233f92a51c465317d291ab8deb8e6796bc20,2026-02-11 23:51:48,
Q9UJ55,MAGEL2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UJ55/Q9UJ55.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UJ55/Q9UJ55_pae.json,4336fe12e23086d28ea64c03c86f449730e9e8685a11c63e93b09c2d584805b7,2026-02-11 23:51:50,
Q16665,HIF1A,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q16665/Q16665.pdb,research/alphafold_countercurvature/data/raw/afdb/Q16665/Q16665_pae.json,b52ee60205a9de2b6164d1510c3bb01ad370c08d7288a2ae21a0d52c93a5e7b4,2026-02-13 03:55:56,
Q7RTM1,OTOP1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q7RTM1/Q7RTM1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q7RTM1/Q7RTM1_pae.json,7fb9199cd653f40265a08ce0b1528997e455e590237a02729dc52874f42bc8ce,2026-02-13 03:56:35,
P20393,NR1D1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P20393/P20393.pdb,research/alphafold_countercurvature/data/raw/afdb/P20393/P20393_pae.json,ac9f7a559e4de8459d4a45cb2aff01dab2ec91629cf1f9bfe4438469dc6b4143,2026-02-13 03:56:37,
Q02809,PLOD1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q02809/Q02809.pdb,research/alphafold_countercurvature/data/raw/afdb/Q02809/Q02809_pae.json,4f761340c9bbd4d0a07bc9e97bb3abd45d5652b4e86e8613f9cf6daba79834d5,2026-02-13 03:56:53,
Q6NSZ9,CCDC57,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q6NSZ9/Q6NSZ9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q6NSZ9/Q6NSZ9_pae.json,afd990a47501ad3db051fef121dff32bd552d0e0185bd0e129fdbd534ad25fa6,2026-02-13 03:57:24,
P28347,TEAD1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P28347/P28347.pdb,research/alphafold_countercurvature/data/raw/afdb/P28347/P28347_pae.json,a759ee997540556a3808dcbdd66f4182a9ca7df3cce5d00d6116f1698492a490,2026-02-13 03:57:28,
O15516,CLOCK,downloaded,research/alphafold_countercurvature/data/raw/afdb/O15516/O15516.pdb,research/alphafold_countercurvature/data/raw/afdb/O15516/O15516_pae.json,46035fff7d649bc4fba71d6979dde97a2b8c55c7bda5c63f191bfc7c66eda2d1,2026-02-13 03:57:30,
P50454,SERPINH1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P50454/P50454.pdb,research/alphafold_countercurvature/data/raw/afdb/P50454/P50454_pae.json,fc1af95ed9a59f5ea7f7bfb5b1aa88b4a75631d86e52a8c22f7f295d1a9fd7bb,2026-02-13 03:57:31,
P35556,FBN2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P35556/P35556.pdb,research/alphafold_countercurvature/data/raw/afdb/P35556/P35556_pae.json,064377786e840ae23faf71e5d3df9c984608130df8ba6f7cebb95eabbe6b4617,2026-02-13 03:57:34,
Q13402,MYO7A,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q13402/Q13402.pdb,research/alphafold_countercurvature/data/raw/afdb/Q13402/Q13402_pae.json,abf9bf409e15e5f296801896e487f72d633842082f3baf437f788f970ce2db18,2026-02-13 03:57:40,
Q9Y6J9,ETV1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y6J9/Q9Y6J9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y6J9/Q9Y6J9_pae.json,429d9f1967e8af2e64b1365c872e1c053aa55ccd712921f871c31ba304ac97d6,2026-02-13 03:57:42,
Q96AC1,FERMT2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96AC1/Q96AC1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96AC1/Q96AC1_pae.json,0842f7b652e83fa9010a1397ee4636a44d6d5a7ca502154125f317474f120cb1,2026-02-13 03:57:47,
